[INFO  ] [21:42:16.227132] <   > fastchess --- fastchess alpha 1.4.0 20250702-2a80921
[INFO  ] [21:42:16.227310] <   > fastchess --- Setting seed to: 12625659313421965355
[INFO  ] [21:42:16.227402] <   > fastchess --- Starting tournament...
[Engine] [21:42:16.265719] <  2> Engine1 <--- uci
[Engine] [21:44:28.434576] <  2> Engine2 ---> readyok
[Engine] [21:44:28.434673] <  2> Engine2 <--- stop
[Engine] [21:44:38.438196] <  2> Engine2 <--- ucinewgame
[Engine] [21:44:38.438249] <  2> Engine2 <--- isready
[Engine] [21:44:38.438292] <  2> Engine2 ---> readyok
[Engine] [21:44:38.438329] <  2> Engine1 <--- ucinewgame
[Engine] [21:44:38.438358] <  2> Engine1 <--- isready
[Engine] [21:44:38.438399] <  2> Engine1 ---> readyok
[Engine] [21:44:38.438428] <  2> Engine2 <--- isready
[Engine] [21:44:38.438468] <  2> Engine2 ---> readyok
[Engine] [21:44:38.438506] <  2> Engine2 <--- isready
[Engine] [21:44:38.438552] <  2> Engine2 ---> readyok
[Engine] [21:44:38.438622] <  2> Engine2 <--- position startpos
[Engine] [21:44:38.438670] <  2> Engine2 <--- isready
[Engine] [21:44:38.438710] <  2> Engine2 ---> readyok
[Engine] [21:44:38.438730] <  2> Engine2 <--- go wtime 60500 btime 60500 winc 500 binc 500
[Engine] [21:44:38.467772] <  2> Engine2 ---> Unable: Search running.
[Engine] [21:44:38.467842] <  2> Engine2 ---> info depth 1 score cp 0 nodes 60 nps 0 hashfull 0 pv a2a4 
[Engine] [21:44:38.467884] <  2> Engine2 ---> bestmove a2a4
[Engine] [21:44:38.467903] <  2> Engine2 <--- isready
[Engine] [21:44:38.467948] <  2> Engine2 ---> readyok
[Engine] [21:44:38.468000] <  2> Engine1 <--- isready
[Engine] [21:44:38.468046] <  2> Engine1 ---> readyok
[Engine] [21:44:38.468063] <  2> Engine1 <--- position startpos moves a2a4
[Engine] [21:44:38.468083] <  2> Engine1 <--- isready
[Engine] [21:44:38.468112] <  2> Engine1 ---> readyok
[Engine] [21:44:38.468129] <  2> Engine1 <--- go wtime 60971 btime 60500 winc 500 binc 500
[Engine] [21:44:38.486625] <  2> Engine1 ---> info depth 1 score cp 10 nodes 60 nps 0 hashfull 0 pv e7e5 
[Engine] [21:44:38.502186] <  2> Engine1 ---> info depth 2 score cp 0 nodes 95 nps 0 hashfull 0 pv e7e5 c2c4 
[Engine] [21:44:38.528289] <  2> Engine1 ---> info depth 3 score cp 10 nodes 1824 nps 0 hashfull 0 pv e7e5 c2c4 e5e4 
[Engine] [21:44:38.568123] <  2> Engine1 ---> info depth 4 score cp 0 nodes 2687 nps 0 hashfull 0 pv e7e5 c2c4 e5e4 h2h4 
[Engine] [21:44:42.030872] <  2> Engine1 ---> info depth 5 score cp 11 nodes 638953 nps 212984 hashfull 12 pv b7b6 a4a5 b6a5 a1a5 h7h5 
[Engine] [21:44:42.030993] <  2> Engine1 ---> bestmove b7b6
[Engine] [21:44:42.031021] <  2> Engine1 <--- isready
[Engine] [21:44:42.031067] <  2> Engine1 ---> readyok
[Engine] [21:44:42.031142] <  2> Engine2 <--- isready
[Engine] [21:44:42.031188] <  2> Engine2 ---> readyok
[Engine] [21:44:42.031209] <  2> Engine2 <--- position startpos moves a2a4 b7b6
[Engine] [21:44:42.031232] <  2> Engine2 <--- isready
[Engine] [21:44:42.031268] <  2> Engine2 ---> readyok
[Engine] [21:44:42.031290] <  2> Engine2 <--- go wtime 60971 btime 57438 winc 500 binc 500
[Engine] [21:44:42.047066] <  2> Engine2 ---> info depth 1 score cp -10 nodes 63 nps 0 hashfull 0 pv c2c4 
[Engine] [21:44:42.065401] <  2> Engine2 ---> info depth 2 score cp -10 nodes 102 nps 0 hashfull 0 pv c2c4 b6b5 
[Engine] [21:44:42.108488] <  2> Engine2 ---> info depth 3 score cp 0 nodes 5765 nps 0 hashfull 0 pv c2c4 e7e5 b2b4 
[Engine] [21:44:42.460495] <  2> Engine2 ---> info depth 4 score cp -11 nodes 44035 nps 0 hashfull 2 pv a4a5 b6a5 a1a5 h7h5 
[Engine] [21:44:44.990675] <  2> Engine2 ---> info depth 5 score cp 92 nodes 452652 nps 226326 hashfull 11 pv e2e4 c7c5 b2b4 b6b5 a4b5 
[Engine] [21:44:44.990783] <  2> Engine2 ---> bestmove e2e4
[Engine] [21:44:44.990830] <  2> Engine2 <--- isready
[Engine] [21:44:44.990885] <  2> Engine2 ---> readyok
[Engine] [21:44:44.990961] <  2> Engine1 <--- isready
[Engine] [21:44:44.991009] <  2> Engine1 ---> readyok
[Engine] [21:44:44.991030] <  2> Engine1 <--- position startpos moves a2a4 b7b6 e2e4
[Engine] [21:44:44.991049] <  2> Engine1 <--- isready
[Engine] [21:44:44.991082] <  2> Engine1 ---> readyok
[Engine] [21:44:44.991099] <  2> Engine1 <--- go wtime 58512 btime 57438 winc 500 binc 500
[Engine] [21:44:45.009627] <  2> Engine1 ---> info depth 1 score cp 12 nodes 63 nps 0 hashfull 0 pv b6b5 
[Engine] [21:44:45.025208] <  2> Engine1 ---> info depth 2 score cp 0 nodes 245 nps 0 hashfull 0 pv e7e5 h2h4 
[Engine] [21:44:45.091589] <  2> Engine1 ---> info depth 3 score cp 103 nodes 9518 nps 0 hashfull 0 pv c8b7 e4e5 b7g2 
[Engine] [21:44:45.148028] <  2> Engine1 ---> info depth 4 score cp 0 nodes 5409 nps 0 hashfull 0 pv c8b7 f1c4 b7e4 c4f7 
[Engine] [21:44:46.769876] <  2> Engine1 ---> info depth 5 score cp 103 nodes 291673 nps 291673 hashfull 5 pv c8b7 h2h3 e7e5 b2b3 b7e4 
[Engine] [21:44:46.769978] <  2> Engine1 ---> bestmove c8b7
[Engine] [21:44:46.770011] <  2> Engine1 <--- isready
[Engine] [21:44:46.770051] <  2> Engine1 ---> readyok
[Engine] [21:44:46.770116] <  2> Engine2 <--- isready
[Engine] [21:44:46.770158] <  2> Engine2 ---> readyok
[Engine] [21:44:46.770176] <  2> Engine2 <--- position startpos moves a2a4 b7b6 e2e4 c8b7
[Engine] [21:44:46.770195] <  2> Engine2 <--- isready
[Engine] [21:44:46.770223] <  2> Engine2 ---> readyok
[Engine] [21:44:46.770240] <  2> Engine2 <--- go wtime 58512 btime 56160 winc 500 binc 500
[Engine] [21:44:46.788359] <  2> Engine2 ---> info depth 1 score cp -10 nodes 93 nps 0 hashfull 0 pv h2h4 
[Engine] [21:44:46.803853] <  2> Engine2 ---> info depth 2 score cp -103 nodes 184 nps 0 hashfull 0 pv e4e5 b7g2 
[Engine] [21:44:46.841461] <  2> Engine2 ---> info depth 3 score cp 0 nodes 4817 nps 0 hashfull 0 pv f1c4 b7e4 c4f7 
[Engine] [21:44:47.058865] <  2> Engine2 ---> info depth 4 score cp -103 nodes 15508 nps 0 hashfull 1 pv h2h3 e7e5 b2b3 b7e4 
[Engine] [21:45:07.053889] <  2> Engine2 ---> info depth 5 score cp 102 nodes 3808353 nps 190417 hashfull 35 pv d1h5 b7e4 d2d3 e4g2 f1g2 
[Engine] [21:45:07.053999] <  2> Engine2 ---> bestmove d1h5
[Engine] [21:45:07.054033] <  2> Engine2 <--- isready
[Engine] [21:45:07.054081] <  2> Engine2 ---> readyok
[Engine] [21:45:07.054147] <  2> Engine1 <--- isready
[Engine] [21:45:07.054189] <  2> Engine1 ---> readyok
[Engine] [21:45:07.054208] <  2> Engine1 <--- position startpos moves a2a4 b7b6 e2e4 c8b7 d1h5
[Engine] [21:45:07.054226] <  2> Engine1 <--- isready
[Engine] [21:45:07.054259] <  2> Engine1 ---> readyok
[Engine] [21:45:07.054277] <  2> Engine1 <--- go wtime 38729 btime 56160 winc 500 binc 500
[Engine] [21:45:07.074212] <  2> Engine1 ---> info depth 1 score cp 116 nodes 66 nps 0 hashfull 0 pv b7e4 
[Engine] [21:45:07.090022] <  2> Engine1 ---> info depth 2 score cp 0 nodes 193 nps 0 hashfull 0 pv b7e4 h5f7 
[Engine] [21:45:07.136390] <  2> Engine1 ---> info depth 3 score cp 213 nodes 4108 nps 0 hashfull 0 pv b7e4 h5d1 e4g2 
[Engine] [21:45:18.088508] <  2> Engine1 ---> info depth 4 score cp -102 nodes 2214570 nps 201324 hashfull 12 pv b7e4 d2d3 e4g2 f1g2 
[Engine] [21:45:18.088642] <  2> Engine1 ---> bestmove b7e4
[Engine] [21:45:18.088685] <  2> Engine1 <--- isready
[Engine] [21:45:18.088740] <  2> Engine1 ---> readyok
[Engine] [21:45:18.088816] <  2> Engine2 <--- isready
[Engine] [21:45:18.088865] <  2> Engine2 ---> readyok
[Engine] [21:45:18.088894] <  2> Engine2 <--- position startpos moves a2a4 b7b6 e2e4 c8b7 d1h5 b7e4
[Engine] [21:45:18.088932] <  2> Engine2 <--- isready
[Engine] [21:45:18.088971] <  2> Engine2 ---> readyok
[Engine] [21:45:18.088990] <  2> Engine2 <--- go wtime 38729 btime 45626 winc 500 binc 500
[Engine] [21:45:18.114404] <  2> Engine2 ---> info depth 1 score cp 0 nodes 132 nps 0 hashfull 0 pv h5f7 
[Engine] [21:45:18.129327] <  2> Engine2 ---> info depth 2 score cp -213 nodes 292 nps 0 hashfull 0 pv h5d1 e4g2 
[Engine] [21:45:18.189283] <  2> Engine2 ---> info depth 3 score cp 108 nodes 8802 nps 0 hashfull 0 pv h5h4 e4g2 f1g2 
[Engine] [21:45:18.742487] <  2> Engine2 ---> info depth 4 score cp -206 nodes 32596 nps 0 hashfull 2 pv h5d1 g7g5 b2b4 e4g2 
[Engine] [21:45:18.742587] <  2> Engine2 ---> bestmove h5d1
[Engine] [21:45:18.742629] <  2> Engine2 <--- isready
[Engine] [21:45:18.742677] <  2> Engine2 ---> readyok
[Engine] [21:45:18.742752] <  2> Engine1 <--- isready
[Engine] [21:45:18.742802] <  2> Engine1 ---> readyok
[Engine] [21:45:18.742828] <  2> Engine1 <--- position startpos moves a2a4 b7b6 e2e4 c8b7 d1h5 b7e4 h5d1
[Engine] [21:45:18.742854] <  2> Engine1 <--- isready
[Engine] [21:45:18.742888] <  2> Engine1 ---> readyok
[Engine] [21:45:18.742909] <  2> Engine1 <--- go wtime 38576 btime 45626 winc 500 binc 500
[Engine] [21:45:18.759152] <  2> Engine1 ---> info depth 1 score cp 213 nodes 87 nps 0 hashfull 0 pv e4g2 
[Engine] [21:45:18.772965] <  2> Engine1 ---> info depth 2 score cp 103 nodes 245 nps 0 hashfull 0 pv g7g5 b2b4 
[Engine] [21:45:18.811908] <  2> Engine1 ---> info depth 3 score cp 206 nodes 5412 nps 0 hashfull 0 pv g7g5 b2b4 e4g2 
[Engine] [21:45:19.171855] <  2> Engine1 ---> info depth 4 score cp 0 nodes 37966 nps 0 hashfull 2 pv e4b7 f1b5 e7e5 b5d7 
[Engine] [21:45:22.450186] <  2> Engine1 ---> info depth 5 score cp 206 nodes 336371 nps 112123 hashfull 13 pv e4g2 f1g2 
[Engine] [21:45:22.450295] <  2> Engine1 ---> bestmove e4g2
[Engine] [21:45:22.450390] <  2> Engine1 <--- isready
[Engine] [21:45:22.450440] <  2> Engine1 ---> readyok
[Engine] [21:45:22.450502] <  2> Engine2 <--- isready
[Engine] [21:45:22.450544] <  2> Engine2 ---> readyok
[Engine] [21:45:22.450562] <  2> Engine2 <--- position startpos moves a2a4 b7b6 e2e4 c8b7 d1h5 b7e4 h5d1 e4g2
[Engine] [21:45:22.450581] <  2> Engine2 <--- isready
[Engine] [21:45:22.450677] <  2> Engine2 ---> readyok
[Engine] [21:45:22.450716] <  2> Engine2 <--- go wtime 38576 btime 42419 winc 500 binc 500
[Engine] [21:45:22.468018] <  2> Engine2 ---> info depth 1 score cp 108 nodes 87 nps 0 hashfull 0 pv f1g2 
[Engine] [21:45:22.482425] <  2> Engine2 ---> info depth 2 score cp 97 nodes 88 nps 0 hashfull 0 pv f1g2 b6b5 
[Engine] [21:45:22.508939] <  2> Engine2 ---> info depth 3 score cp 201 nodes 2378 nps 0 hashfull 0 pv f1g2 d7d5 g2d5 
[Engine] [21:45:22.601836] <  2> Engine2 ---> info depth 4 score cp -5 nodes 3657 nps 0 hashfull 0 pv f1g2 c7c6 a4a5 b6a5 
[Engine] [21:45:23.196230] <  2> Engine2 ---> info depth 5 score cp 201 nodes 87170 nps 0 hashfull 3 pv f1g2 d7d5 d1h5 g7g6 g2d5 
[Engine] [21:45:23.196339] <  2> Engine2 ---> bestmove f1g2
[Engine] [21:45:23.196375] <  2> Engine2 <--- isready
[Engine] [21:45:23.196416] <  2> Engine2 ---> readyok
[Engine] [21:45:23.196486] <  2> Engine1 <--- isready
[Engine] [21:45:23.196537] <  2> Engine1 ---> readyok
[Engine] [21:45:23.196568] <  2> Engine1 <--- position startpos moves a2a4 b7b6 e2e4 c8b7 d1h5 b7e4 h5d1 e4g2 f1g2
[Engine] [21:45:23.196592] <  2> Engine1 <--- isready
[Engine] [21:45:23.196629] <  2> Engine1 ---> readyok
[Engine] [21:45:23.196648] <  2> Engine1 <--- go wtime 38331 btime 42419 winc 500 binc 500
[Engine] [21:45:23.214673] <  2> Engine1 ---> info depth 1 score cp -97 nodes 60 nps 0 hashfull 0 pv b6b5 
[Engine] [21:45:23.229435] <  2> Engine1 ---> info depth 2 score cp -201 nodes 206 nps 0 hashfull 0 pv d7d5 g2d5 
[Engine] [21:45:23.252999] <  2> Engine1 ---> info depth 3 score cp 5 nodes 1916 nps 0 hashfull 0 pv c7c6 a4a5 b6a5 
[Engine] [21:45:23.472046] <  2> Engine1 ---> info depth 4 score cp -201 nodes 23873 nps 0 hashfull 1 pv d7d5 d1h5 g7g6 g2d5 
[Engine] [21:45:23.797290] <  2> Engine1 ---> info depth 5 score cp 97 nodes 45865 nps 0 hashfull 2 pv d7d5 g2d5 
[Engine] [21:45:23.797388] <  2> Engine1 ---> bestmove d7d5
[Engine] [21:45:23.797422] <  2> Engine1 <--- isready
[Engine] [21:45:23.797467] <  2> Engine1 ---> readyok
[Engine] [21:45:23.797529] <  2> Engine2 <--- isready
[Engine] [21:45:23.797572] <  2> Engine2 ---> readyok
[Engine] [21:45:23.797590] <  2> Engine2 <--- position startpos moves a2a4 b7b6 e2e4 c8b7 d1h5 b7e4 h5d1 e4g2 f1g2 d7d5
[Engine] [21:45:23.797608] <  2> Engine2 <--- isready
[Engine] [21:45:23.797635] <  2> Engine2 ---> readyok
[Engine] [21:45:23.797652] <  2> Engine2 <--- go wtime 38331 btime 42319 winc 500 binc 500
[Engine] [21:45:23.813089] <  2> Engine2 ---> info depth 1 score cp 201 nodes 87 nps 0 hashfull 0 pv g2d5 
[Engine] [21:45:23.830068] <  2> Engine2 ---> info depth 2 score cp 97 nodes 176 nps 0 hashfull 0 pv f2f4 d5d4 
[Engine] [21:45:23.911455] <  2> Engine2 ---> info depth 3 score cp 201 nodes 14872 nps 0 hashfull 0 pv d1h5 g7g6 g2d5 
[Engine] [21:45:24.069877] <  2> Engine2 ---> info depth 4 score cp -2 nodes 12918 nps 0 hashfull 1 pv f2f3 b6b5 h2h4 b5a4 
[Engine] [21:45:33.613502] <  2> Engine2 ---> info depth 5 score cp 310 nodes 1806777 nps 200753 hashfull 23 pv d1h5 e7e5 h5e5 e8d7 e5d5 
[Engine] [21:45:33.613612] <  2> Engine2 ---> bestmove d1h5
[Engine] [21:45:33.613653] <  2> Engine2 <--- isready
[Engine] [21:45:33.613699] <  2> Engine2 ---> readyok
[Engine] [21:45:33.613778] <  2> Engine1 <--- isready
[Engine] [21:45:33.613851] <  2> Engine1 ---> readyok
[Engine] [21:45:33.613876] <  2> Engine1 <--- position startpos moves a2a4 b7b6 e2e4 c8b7 d1h5 b7e4 h5d1 e4g2 f1g2 d7d5 d1h5
[Engine] [21:45:33.613899] <  2> Engine1 <--- isready
[Engine] [21:45:33.613936] <  2> Engine1 ---> readyok
[Engine] [21:45:33.613958] <  2> Engine1 <--- go wtime 29016 btime 42319 winc 500 binc 500
[Engine] [21:45:33.630252] <  2> Engine1 ---> info depth 1 score cp -95 nodes 60 nps 0 hashfull 0 pv d5d4 
[Engine] [21:45:33.650648] <  2> Engine1 ---> info depth 2 score cp -201 nodes 1411 nps 0 hashfull 0 pv g7g6 g2d5 
[Engine] [21:45:33.699770] <  2> Engine1 ---> info depth 3 score cp 8 nodes 5906 nps 0 hashfull 0 pv d8d7 b2b4 d7a4 
[Engine] [21:45:39.679480] <  2> Engine1 ---> info depth 4 score cp -110 nodes 1226524 nps 204420 hashfull 9 pv d8d6 g2d5 
[Engine] [21:45:39.679580] <  2> Engine1 ---> bestmove d8d6
[Engine] [21:45:39.679615] <  2> Engine1 <--- isready
[Engine] [21:45:39.679655] <  2> Engine1 ---> readyok
[Engine] [21:45:39.679712] <  2> Engine2 <--- isready
[Engine] [21:45:39.679754] <  2> Engine2 ---> readyok
[Engine] [21:45:39.679772] <  2> Engine2 <--- position startpos moves a2a4 b7b6 e2e4 c8b7 d1h5 b7e4 h5d1 e4g2 f1g2 d7d5 d1h5 d8d6
[Engine] [21:45:39.679791] <  2> Engine2 <--- isready
[Engine] [21:45:39.679816] <  2> Engine2 ---> readyok
[Engine] [21:45:39.679833] <  2> Engine2 <--- go wtime 29016 btime 36754 winc 500 binc 500
[Engine] [21:45:39.700780] <  2> Engine2 ---> info depth 1 score cp 210 nodes 120 nps 0 hashfull 0 pv h5f7 
[Engine] [21:45:39.716589] <  2> Engine2 ---> info depth 2 score cp -8 nodes 262 nps 0 hashfull 0 pv b2b4 d6h2 
[Engine] [21:45:39.795251] <  2> Engine2 ---> info depth 3 score cp 520 nodes 12538 nps 0 hashfull 0 pv h5f7 e8d8 f7f8 
[Engine] [21:45:40.812673] <  2> Engine2 ---> info depth 4 score cp -90 nodes 137959 nps 137959 hashfull 4 pv h2h4 d6g3 g2d5 g3g1 
[Engine] [21:45:40.812781] <  2> Engine2 ---> bestmove h2h4
[Engine] [21:45:40.812814] <  2> Engine2 <--- isready
[Engine] [21:45:40.812856] <  2> Engine2 ---> readyok
[Engine] [21:45:40.812920] <  2> Engine1 <--- isready
[Engine] [21:45:40.812959] <  2> Engine1 ---> readyok
[Engine] [21:45:40.812978] <  2> Engine1 <--- position startpos moves a2a4 b7b6 e2e4 c8b7 d1h5 b7e4 h5d1 e4g2 f1g2 d7d5 d1h5 d8d6 h2h4
[Engine] [21:45:40.812996] <  2> Engine1 <--- isready
[Engine] [21:45:40.813025] <  2> Engine1 ---> readyok
[Engine] [21:45:40.813042] <  2> Engine1 <--- go wtime 28384 btime 36754 winc 500 binc 500
[Engine] [21:45:40.830971] <  2> Engine1 ---> info depth 1 score cp -95 nodes 96 nps 0 hashfull 0 pv d5d4 
[Engine] [21:45:40.853407] <  2> Engine1 ---> info depth 2 score cp -107 nodes 1682 nps 0 hashfull 0 pv d6e6 g1e2 
[Engine] [21:45:40.919366] <  2> Engine1 ---> info depth 3 score cp 5 nodes 9868 nps 0 hashfull 0 pv e7e5 c2c4 d5c4 
[Engine] [21:45:43.940508] <  2> Engine1 ---> info depth 4 score cp -102 nodes 610789 nps 203596 hashfull 6 pv d6c6 g2d5 
[Engine] [21:45:43.940609] <  2> Engine1 ---> bestmove d6c6
[Engine] [21:45:43.940643] <  2> Engine1 <--- isready
[Engine] [21:45:43.940683] <  2> Engine1 ---> readyok
[Engine] [21:45:43.940741] <  2> Engine2 <--- isready
[Engine] [21:45:43.940782] <  2> Engine2 ---> readyok
[Engine] [21:45:43.940801] <  2> Engine2 <--- position startpos moves a2a4 b7b6 e2e4 c8b7 d1h5 b7e4 h5d1 e4g2 f1g2 d7d5 d1h5 d8d6 h2h4 d6c6
[Engine] [21:45:43.940820] <  2> Engine2 <--- isready
[Engine] [21:45:43.940857] <  2> Engine2 ---> readyok
[Engine] [21:45:43.940877] <  2> Engine2 <--- go wtime 28384 btime 34127 winc 500 binc 500
[Engine] [21:45:43.957295] <  2> Engine2 ---> info depth 1 score cp 210 nodes 114 nps 0 hashfull 0 pv h5h7 
[Engine] [21:45:43.973782] <  2> Engine2 ---> info depth 2 score cp -5 nodes 406 nps 0 hashfull 0 pv c2c4 c6c4 
[Engine] [21:45:44.040392] <  2> Engine2 ---> info depth 3 score cp 515 nodes 10875 nps 0 hashfull 0 pv h5f7 e8d7 f7f8 
[Engine] [21:45:44.873021] <  2> Engine2 ---> info depth 4 score cp -8 nodes 90837 nps 0 hashfull 4 pv a1a3 e7e5 b2b4 a7a6 
[Engine] [21:45:44.873114] <  2> Engine2 ---> bestmove a1a3
[Engine] [21:45:44.873140] <  2> Engine2 <--- isready
[Engine] [21:45:44.873185] <  2> Engine2 ---> readyok
[Engine] [21:45:44.873258] <  2> Engine1 <--- isready
[Engine] [21:45:44.873307] <  2> Engine1 ---> readyok
[Engine] [21:45:44.873329] <  2> Engine1 <--- position startpos moves a2a4 b7b6 e2e4 c8b7 d1h5 b7e4 h5d1 e4g2 f1g2 d7d5 d1h5 d8d6 h2h4 d6c6 a1a3
[Engine] [21:45:44.873352] <  2> Engine1 <--- isready
[Engine] [21:45:44.873389] <  2> Engine1 ---> readyok
[Engine] [21:45:44.873411] <  2> Engine1 <--- go wtime 27952 btime 34127 winc 500 binc 500
[Engine] [21:45:44.890597] <  2> Engine1 ---> info depth 1 score cp 8 nodes 84 nps 0 hashfull 0 pv c6c2 
[Engine] [21:45:44.907639] <  2> Engine1 ---> info depth 2 score cp -107 nodes 417 nps 0 hashfull 0 pv c6e6 g1e2 
[Engine] [21:45:44.953746] <  2> Engine1 ---> info depth 3 score cp 206 nodes 5081 nps 0 hashfull 0 pv c6c2 g2d5 c2b1 
[Engine] [21:45:53.828447] <  2> Engine1 ---> info depth 4 score cp -200 nodes 1733295 nps 216661 hashfull 10 pv c6d6 g2e4 
[Engine] [21:45:53.828546] <  2> Engine1 ---> bestmove c6d6
[Engine] [21:45:53.828581] <  2> Engine1 <--- isready
[Engine] [21:45:53.828626] <  2> Engine1 ---> readyok
[Engine] [21:45:53.828708] <  2> Engine2 <--- isready
[Engine] [21:45:53.828758] <  2> Engine2 ---> readyok
[Engine] [21:45:53.828790] <  2> Engine2 <--- position startpos moves a2a4 b7b6 e2e4 c8b7 d1h5 b7e4 h5d1 e4g2 f1g2 d7d5 d1h5 d8d6 h2h4 d6c6 a1a3 c6d6
[Engine] [21:45:53.828812] <  2> Engine2 <--- isready
[Engine] [21:45:53.828847] <  2> Engine2 ---> readyok
[Engine] [21:45:53.828874] <  2> Engine2 <--- go wtime 27952 btime 25672 winc 500 binc 500
[Engine] [21:45:53.845390] <  2> Engine2 ---> info depth 1 score cp 210 nodes 132 nps 0 hashfull 0 pv h5f7 
[Engine] [21:45:53.861454] <  2> Engine2 ---> info depth 2 score cp -8 nodes 247 nps 0 hashfull 0 pv b2b4 d6b4 
[Engine] [21:45:53.966932] <  2> Engine2 ---> info depth 3 score cp 520 nodes 17924 nps 0 hashfull 0 pv h5f7 e8d8 f7f8 
[Engine] [21:45:54.827025] <  2> Engine2 ---> info depth 4 score cp -8 nodes 72063 nps 0 hashfull 3 pv g2f1 d5d4 b2b4 d6b4 
[Engine] [21:45:54.827120] <  2> Engine2 ---> bestmove g2f1
[Engine] [21:45:54.827146] <  2> Engine2 <--- isready
[Engine] [21:45:54.827192] <  2> Engine2 ---> readyok
[Engine] [21:45:54.827267] <  2> Engine1 <--- isready
[Engine] [21:45:54.827314] <  2> Engine1 ---> readyok
[Engine] [21:45:54.827337] <  2> Engine1 <--- position startpos moves a2a4 b7b6 e2e4 c8b7 d1h5 b7e4 h5d1 e4g2 f1g2 d7d5 d1h5 d8d6 h2h4 d6c6 a1a3 c6d6 g2f1
[Engine] [21:45:54.827381] <  2> Engine1 <--- isready
[Engine] [21:45:54.827459] <  2> Engine1 ---> readyok
[Engine] [21:45:54.827489] <  2> Engine1 <--- go wtime 27454 btime 25672 winc 500 binc 500
[Engine] [21:45:54.847310] <  2> Engine1 ---> info depth 1 score cp 305 nodes 96 nps 0 hashfull 0 pv d6a3 
[Engine] [21:45:54.888157] <  2> Engine1 ---> info depth 2 score cp -107 nodes 5335 nps 0 hashfull 0 pv d6e6 g1e2 
[Engine] [21:45:54.962523] <  2> Engine1 ---> info depth 3 score cp 8 nodes 10076 nps 0 hashfull 0 pv d5d4 b2b4 d6b4 
[Engine] [21:46:08.449356] <  2> Engine1 ---> info depth 4 score cp -99 nodes 2752345 nps 211718 hashfull 13 pv d6c6 a4a5 
[Engine] [21:46:08.449467] <  2> Engine1 ---> bestmove d6c6
[Engine] [21:46:08.449501] <  2> Engine1 <--- isready
[Engine] [21:46:08.449550] <  2> Engine1 ---> readyok
[Engine] [21:46:08.449614] <  2> Engine2 <--- isready
[Engine] [21:46:08.449662] <  2> Engine2 ---> readyok
[Engine] [21:46:08.449680] <  2> Engine2 <--- position startpos moves a2a4 b7b6 e2e4 c8b7 d1h5 b7e4 h5d1 e4g2 f1g2 d7d5 d1h5 d8d6 h2h4 d6c6 a1a3 c6d6 g2f1 d6c6
[Engine] [21:46:08.449700] <  2> Engine2 <--- isready
[Engine] [21:46:08.449731] <  2> Engine2 ---> readyok
[Engine] [21:46:08.449778] <  2> Engine2 <--- go wtime 27454 btime 12551 winc 500 binc 500
[Engine] [21:46:08.467175] <  2> Engine2 ---> info depth 1 score cp 210 nodes 135 nps 0 hashfull 0 pv h5h7 
[Engine] [21:46:08.484212] <  2> Engine2 ---> info depth 2 score cp -8 nodes 248 nps 0 hashfull 0 pv d2d4 c6c2 
[Engine] [21:46:09.290331] <  2> Engine2 ---> info depth 3 score cp 515 nodes 176034 nps 0 hashfull 2 pv h5f7 e8d7 f7f8 
[Engine] [21:46:09.290435] <  2> Engine2 ---> bestmove h5f7
[Engine] [21:46:09.290473] <  2> Engine2 <--- isready
[Engine] [21:46:09.290512] <  2> Engine2 ---> readyok
[Engine] [21:46:09.290569] <  2> Engine1 <--- isready
[Engine] [21:46:09.290611] <  2> Engine1 ---> readyok
[Engine] [21:46:09.290629] <  2> Engine1 <--- position startpos moves a2a4 b7b6 e2e4 c8b7 d1h5 b7e4 h5d1 e4g2 f1g2 d7d5 d1h5 d8d6 h2h4 d6c6 a1a3 c6d6 g2f1 d6c6 h5f7
[Engine] [21:46:09.290728] <  2> Engine1 <--- isready
[Engine] [21:46:09.290778] <  2> Engine1 ---> readyok
[Engine] [21:46:09.290811] <  2> Engine1 <--- go wtime 27114 btime 12551 winc 500 binc 500
[Engine] [21:46:09.307835] <  2> Engine1 ---> info depth 1 score cp 702 nodes 9 nps 0 hashfull 0 pv e8f7 
[Engine] [21:46:09.321660] <  2> Engine1 ---> info depth 2 score cp 690 nodes 104 nps 0 hashfull 0 pv e8f7 a3f3 
[Engine] [21:46:09.372981] <  2> Engine1 ---> info depth 3 score cp 702 nodes 8902 nps 0 hashfull 0 pv e8f7 a3f3 g8f6 
[Engine] [21:46:09.410346] <  2> Engine1 ---> info depth 4 score cp -100 nodes 3300 nps 0 hashfull 0 pv e8f7 f1g2 c6a4 a3a4 
